,GrLivArea,SalePrice,LotFrontage,LotArea,LotShape,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,TotalBsmtSF,HeatingQC,LowQualFinSF,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageArea,Fence,YrSold,RemodelBool,Age,Totalbathr,FinBsmt_Perc,Outside_Spaces,Condition_Norm,Condition_Feedr_Artery,Condition_PosAN,Condition_RRewns,MSZoning__RH,MSZoning__RM,Alley__1,LandContour__Bnk,LandContour__HLS,LandContour__Low,LotConfig__Corner,LotConfig__CulDSac,LotConfig__FR2,LotConfig__FR3,Neighborhood__Blmngtn,Neighborhood__Blueste,Neighborhood__BrDale,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__Greens,Neighborhood__GrnHill,Neighborhood__IDOTRR,Neighborhood__Landmrk,Neighborhood__MeadowV,Neighborhood__Mitchel,Neighborhood__NPkVill,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,Neighborhood__Veenker,HouseStyle__1.5Fin,HouseStyle__1.5Unf,HouseStyle__2.5Fin,HouseStyle__2.5Unf,HouseStyle__2Story,HouseStyle__SFoyer,HouseStyle__SLvl,RoofStyle__Flat,RoofStyle__Gambrel,RoofStyle__Hip,RoofStyle__Mansard,RoofStyle__Shed,MasVnrType__BrkCmn,MasVnrType__BrkFace,MasVnrType__Stone,CentralAir__0,Electrical__0,PavedDrive__0,SaleType__Contract,SaleType__Other,PoolArea__1,Foundation__BrkTil,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Season__Autumn,Season__Spring,Season__Winter,SaleCondition__Other,NeighborhoodSafety__1,NeighborhoodSafety__2,NeighborhoodSafety__3,NeighborhoodSafety__4,NeighborhoodSafety__5,NeighborhoodSafety__7,NeighborhoodSD__5
11,1342,219500,48.0,6240,4,8,5,196.0,4,4,0,1342.0,5,0,4,6,4,2,550.0,0,2008,1,2,2.0,1.7870439314966493,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,1274,136000,63.0,10475,4,5,5,0.0,3,4,0,624.0,4,0,3,6,0,1,576.0,2,2010,0,19,1.5,73.28,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,861,80000,62.0,7404,4,4,6,0.0,3,2,0,861.0,3,0,3,5,0,1,288.0,0,2009,1,89,1.0,0.0,128,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,1394,159000,66.633846,9500,3,6,5,247.0,3,4,0,1394.0,4,0,3,6,4,2,514.0,0,2009,0,46,2.5,43.655913978494624,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1536,214000,70.0,9135,4,7,5,113.0,4,4,2,1536.0,5,0,4,7,0,2,532.0,0,2008,1,6,3.0,52.70006506180872,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16,1680,163000,50.0,8480,3,6,5,120.0,4,4,0,886.0,5,0,4,7,0,2,474.0,0,2008,1,15,3.0,67.86922209695602,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
17,1274,203000,68.0,8814,4,7,5,80.0,4,4,0,1274.0,5,0,4,6,0,2,508.0,0,2007,1,2,3.0,72.54901960784314,362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
18,864,67000,45.0,8248,4,3,3,0.0,3,3,0,864.0,3,0,3,5,0,0,0.0,0,2008,1,94,2.0,4.7398843930635834,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,1610,205000,66.633846,10603,3,6,7,28.0,3,3,1,1610.0,4,0,4,6,3,2,480.0,0,2010,1,33,3.0,74.487895716946,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20,1091,131250,62.0,7706,4,6,5,0.0,3,4,2,384.0,5,0,3,5,0,3,429.0,0,2009,1,16,1.5,99.74025974025975,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1486,181000,65.0,7441,3,7,5,170.0,4,4,0,1461.0,5,0,4,7,0,2,566.0,0,2007,0,1,2.0,0.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,789,115000,50.0,6000,4,5,5,0.0,3,3,0,789.0,5,0,3,5,0,1,250.0,0,2008,1,60,1.0,34.55696202531646,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
23,1092,98000,21.0,1477,4,6,9,0.0,3,3,0,546.0,5,0,3,6,0,0,0.0,0,2008,1,38,2.5,65.44789762340037,187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,2640,265979,65.0,11700,3,7,7,0.0,4,3,0,1240.0,3,0,4,8,4,1,864.0,0,2009,1,129,1.5,0.0,567,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
25,1092,105500,21.0,1680,4,5,5,492.0,3,3,0,525.0,3,0,3,6,0,1,320.0,0,2010,0,39,1.5,57.03422053231939,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26,1458,168165,58.0,13204,3,7,5,44.0,3,4,0,608.0,5,0,4,6,0,3,454.0,0,2007,1,1,2.0,0.0,133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
27,1466,201000,73.0,8925,3,8,5,0.0,4,4,2,1466.0,5,0,4,7,0,3,610.0,0,2009,0,2,2.0,1.0906612133606,118,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1573,177500,66.633846,2117,4,6,5,216.0,4,4,0,756.0,5,0,4,5,0,1,440.0,0,2010,0,10,2.5,49.9339498018494,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,2090,200000,81.468023,10382,3,7,6,240.0,3,4,1,1107.0,5,0,3,7,3,2,484.0,0,2009,0,36,3.5,80.41516245487365,667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,2046,450000,105.0,15431,4,10,5,400.0,5,5,3,1994.0,5,0,5,7,4,3,878.0,0,2007,1,2,3.5,71.67919799498746,428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,886,91300,50.0,5784,4,5,8,0.0,3,2,0,190.0,4,0,3,4,0,1,273.0,0,2009,1,71,1.0,0.0,244,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32,1258,173500,64.0,7697,4,7,6,0.0,4,4,0,1246.0,5,0,4,6,0,2,462.0,0,2007,0,0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,1324,199500,100.0,18494,3,6,5,0.0,4,4,0,1324.0,5,0,4,6,0,3,430.0,0,2010,0,5,2.0,0.0,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,1848,207000,64.0,13053,4,6,7,0.0,3,3,0,833.0,4,0,4,8,4,1,370.0,0,2008,1,85,1.5,0.0,220,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1269,155000,70.0,7931,4,5,6,0.0,3,3,0,1269.0,3,0,3,6,2,1,308.0,0,2008,0,48,1.5,71.33858267716535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1346,220000,88.0,11896,3,7,5,60.0,4,4,0,1336.0,5,0,4,6,3,3,660.0,0,2010,0,2,3.0,5.833956619296933,148,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37,1749,196000,68.0,9272,3,7,5,0.0,4,4,0,842.0,5,0,4,7,0,2,515.0,0,2006,0,7,2.5,59.31198102016607,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,492,61500,52.0,7830,4,3,5,0.0,3,2,0,492.0,3,0,3,3,0,1,200.0,0,2006,1,85,2.0,84.38133874239351,78,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2030,195000,66.633846,12046,3,6,6,298.0,3,3,0,848.0,3,0,4,8,3,3,551.0,0,2007,0,31,2.5,18.374558303886925,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,988,129250,65.0,7150,4,5,6,52.0,3,3,0,988.0,3,0,3,5,0,1,360.0,0,2007,0,41,2.0,73.30637007077856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,2172,291000,59.413793,11000,4,9,5,295.0,4,5,1,1519.0,5,0,5,8,3,2,687.0,0,2008,0,8,2.5,0.0,315,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,1080,134000,71.0,9187,4,6,5,0.0,3,3,0,1084.0,3,0,3,5,0,1,484.0,0,2007,0,24,1.5,30.967741935483872,278,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,1312,186000,76.0,11355,3,7,7,125.0,3,3,0,1312.0,5,0,3,6,4,2,495.0,3,2008,1,50,1.5,48.51485148514851,448,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,925,133500,66.633846,8638,3,5,6,0.0,3,3,0,925.0,4,0,3,5,0,1,484.0,0,2006,0,43,2.0,19.546436285097194,277,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,1534,148000,60.0,10800,4,5,9,0.0,3,4,2,736.0,5,0,4,6,0,0,0.0,0,2007,1,112,1.5,0.0,112,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2376,325300,101.0,14215,3,8,5,380.0,4,5,2,1158.0,5,0,4,9,4,2,853.0,0,2006,1,1,3.5,0.0,394,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
47,1959,215000,59.0,11796,3,7,5,0.0,4,4,2,847.0,5,0,4,8,4,3,434.0,0,2007,1,3,2.5,0.0,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1716,131000,60.0,11409,4,5,4,0.0,3,3,0,768.0,4,0,3,8,4,1,281.0,0,2009,1,60,1.5,37.971391417425224,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,936,109500,56.0,4485,4,5,7,0.0,3,3,0,936.0,3,0,3,5,4,0,0.0,3,2010,1,90,2.0,61.792956243329776,186,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50,1230,110000,60.0,10440,4,5,6,0.0,3,3,0,440.0,4,0,3,5,0,1,440.0,3,2009,1,99,1.5,0.0,202,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,2592,150000,60.0,10890,4,5,6,0.0,3,3,1,1296.0,2,0,3,12,0,0,0.0,0,2007,1,84,4.0,28.604471858134158,982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
